Date,Alchohol_Sales
01-06-2011,11344
01-07-2011,9106
01-08-2011,10469
01-09-2011,10085
01-10-2011,9612
01-11-2011,10328
01-12-2011,11483
01-01-2012,7486
01-02-2012,8641
01-03-2012,9709
01-04-2012,9423
01-05-2012,11342
01-06-2012,11274
01-07-2012,9845
01-08-2012,11163
01-09-2012,9532
01-10-2012,10754
01-11-2012,10953
01-12-2012,11922
01-01-2013,8395
01-02-2013,8888
01-03-2013,10110
01-04-2013,10493
01-05-2013,12218
01-06-2013,11385
01-07-2013,11186
01-08-2013,11462
01-09-2013,10494
01-10-2013,11540
01-11-2013,11138
01-12-2013,12709
01-01-2014,8557
01-02-2014,9059
01-03-2014,10055
01-04-2014,10977
01-05-2014,11792
01-06-2014,11904
01-07-2014,10965
01-08-2014,10981
01-09-2014,10828
01-10-2014,11817
01-11-2014,10470
01-12-2014,13310
01-01-2015,8400
01-02-2015,9062
01-03-2015,10722
01-04-2015,11107
01-05-2015,11508
01-06-2015,12904
01-07-2015,11869
01-08-2015,11224
01-09-2015,12022
01-10-2015,11983
01-11-2015,11506
01-12-2015,14183
01-01-2016,8648
01-02-2016,10321
01-03-2016,12107
01-04-2016,11420
01-05-2016,12238
01-06-2016,13681
01-07-2016,10950
01-08-2016,12700
01-09-2016,12272
01-10-2016,11905
01-11-2016,13016
01-12-2016,14421
01-01-2017,9043
01-02-2017,10452
01-03-2017,12481
01-04-2017,11491
01-05-2017,13545
01-06-2017,14730
01-07-2017,11416
01-08-2017,13402
01-09-2017,11907
01-10-2017,12711
01-11-2017,13261
01-12-2017,14265
01-01-2018,9564
01-02-2018,10415
01-03-2018,12683
01-04-2018,11919
01-05-2018,14138
01-06-2018,14583
01-07-2018,12640
01-08-2018,14257
01-09-2018,12396
01-10-2018,13914
01-11-2018,14174
01-12-2018,15504
01-01-2019,10718
